Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:08.984378,Triple Duplicate,1460,1825
2020-04-21 16:34:08.984379,,1825,1825
2020-04-21 16:34:08.984379,,3285,1825
2020-04-21 16:34:08.984380,,4745,1825
2020-04-21 16:34:08.984380,Triple Duplicate,1460,2372
2020-04-21 16:34:08.984381,,2372,2372
2020-04-21 16:34:08.984381,Triple Duplicate,1460,1460
2020-04-21 16:34:08.984382,,2920,1460
2020-04-21 16:34:08.984382,,4380,1460
2020-04-21 16:34:08.985062,Retransmission,1460,2190
2020-04-21 16:34:08.985121,,2190,2190
2020-04-21 16:34:08.985121,,3650,2190
2020-04-21 16:34:08.985122,Triple Duplicate,1460,1825
2020-04-21 16:34:09.026249,Retransmission,1460,1460
2020-04-21 16:34:09.026376,,2920,1460
2020-04-21 16:34:09.026377,,4380,1460
2020-04-21 16:34:09.026378,Triple Duplicate,1460,2190
2020-04-21 16:34:09.026379,,2190,2190
2020-04-21 16:34:09.026379,,3650,2190
2020-04-21 16:34:09.026900,Retransmission,1460,1825
2020-04-21 16:34:09.027054,,1825,1825
2020-04-21 16:34:09.027055,,3285,1825
2020-04-21 16:34:09.027055,Triple Duplicate,1460,1642
2020-04-21 16:34:09.027056,,1642,1642
2020-04-21 16:34:09.027057,,3102,1642
2020-04-21 16:34:09.027057,Triple Duplicate,1460,1551
2020-04-21 16:34:09.027058,,1551,1551
2020-04-21 16:34:09.027059,,3011,1551
2020-04-21 16:34:09.027059,Triple Duplicate,1460,1505
2020-04-21 16:34:09.027060,,1505,1505
2020-04-21 16:34:09.027061,Triple Duplicate,1460,1460
2020-04-21 16:34:09.027061,,2920,1460
2020-04-21 16:34:09.027629,Retransmission,1460,1460
2020-04-21 16:34:09.027773,,2920,1460
2020-04-21 16:34:09.027774,,4380,1460
2020-04-21 16:34:09.027775,Triple Duplicate,1460,2190
2020-04-21 16:34:09.027775,,2190,2190
2020-04-21 16:34:09.027776,,3650,2190
2020-04-21 16:34:09.027777,Triple Duplicate,1460,1825
2020-04-21 16:34:09.027778,,1825,1825
2020-04-21 16:34:09.027778,,3285,1825
2020-04-21 16:34:09.027779,Triple Duplicate,1460,1642
2020-04-21 16:34:09.027779,,1642,1642
2020-04-21 16:34:09.030311,Retransmission,1460,1460
2020-04-21 16:34:09.030508,,2920,1460
2020-04-21 16:34:09.030509,,4380,1460
2020-04-21 16:34:09.030509,Triple Duplicate,1460,2190
2020-04-21 16:34:09.030510,,2190,2190
2020-04-21 16:34:09.030511,,3650,2190
