Timestamp,Event,cwnd,sstresh,Phase
2020-04-21 16:34:01.589836,,2921,1461,Congestion Avoidance
2020-04-21 16:34:01.589837,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.589838,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.589838,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.589840,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.710890,Retransmission,1460,2920,Slow Start
2020-04-21 16:34:01.711018,,2920,2920,Congestion Avoidance
2020-04-21 16:34:01.711020,,4380,2920,Congestion Avoidance
2020-04-21 16:34:01.711021,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.711022,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.711024,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.711024,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.711025,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.711027,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.711028,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.712477,Retransmission,1460,3011,Slow Start
2020-04-21 16:34:01.712579,,2920,3011,Slow Start
2020-04-21 16:34:01.712580,,3011,3011,Congestion Avoidance
2020-04-21 16:34:01.714452,Retransmission,1460,1505,Slow Start
2020-04-21 16:34:01.714608,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.714610,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.714610,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.714611,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.714612,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.714613,Triple Duplicate,5851,1471,Fast Recovery
2020-04-21 16:34:01.714614,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.714615,,2931,1471,Congestion Avoidance
2020-04-21 16:34:01.714616,Triple Duplicate,5845,1465,Fast Recovery
2020-04-21 16:34:01.714617,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.714618,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.714619,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.714620,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.714621,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.714622,Triple Duplicate,5841,1461,Fast Recovery
2020-04-21 16:34:01.714623,,1461,1461,Congestion Avoidance
2020-04-21 16:34:01.715403,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.715521,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.715522,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.715523,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.715523,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.715928,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.716030,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.716031,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.716032,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.716033,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.716034,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.716035,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.716036,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.716037,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.716038,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.716039,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.716040,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.718946,Retransmission,1460,1551,Slow Start
2020-04-21 16:34:01.719066,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.719067,,3011,1551,Congestion Avoidance
2020-04-21 16:34:01.719069,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:01.719069,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.719070,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.719071,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.719072,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.719073,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.824114,Retransmission,1460,1471,Slow Start
2020-04-21 16:34:01.824190,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.824190,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.824190,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.824191,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.824191,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.824192,,5840,1460,Congestion Avoidance
2020-04-21 16:34:01.824192,,7300,1460,Congestion Avoidance
2020-04-21 16:34:01.824192,Triple Duplicate,8030,3650,Fast Recovery
2020-04-21 16:34:01.824193,,3650,3650,Congestion Avoidance
2020-04-21 16:34:01.824193,,5110,3650,Congestion Avoidance
2020-04-21 16:34:01.824193,Triple Duplicate,6935,2555,Fast Recovery
2020-04-21 16:34:01.824861,Retransmission,1460,3467,Slow Start
2020-04-21 16:34:01.824902,,2920,3467,Slow Start
2020-04-21 16:34:01.824902,,3467,3467,Congestion Avoidance
2020-04-21 16:34:01.824903,Triple Duplicate,6113,1733,Fast Recovery
2020-04-21 16:34:01.824903,,1733,1733,Congestion Avoidance
2020-04-21 16:34:01.827533,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.827587,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.827587,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.827588,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.827588,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.827588,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.827589,,5110,2190,Congestion Avoidance
2020-04-21 16:34:01.827589,,6570,2190,Congestion Avoidance
2020-04-21 16:34:01.827589,Triple Duplicate,7665,3285,Fast Recovery
2020-04-21 16:34:01.827590,,3285,3285,Congestion Avoidance
2020-04-21 16:34:01.827590,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.827591,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.827591,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.827592,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.827592,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.827592,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.827593,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.827593,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.827593,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.828222,Retransmission,1460,2920,Slow Start
2020-04-21 16:34:01.828260,,2920,2920,Congestion Avoidance
2020-04-21 16:34:01.828260,,4380,2920,Congestion Avoidance
2020-04-21 16:34:01.828261,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.828261,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.828262,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.828262,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.831857,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.831911,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.831911,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.831912,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.831912,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.831912,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.831913,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.831913,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.831914,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.831914,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.831914,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.831915,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.831915,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.831916,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.832166,Retransmission,1460,1460,Congestion Avoidance
